-0.2711558,-1.926097,-0.9526716
-0.270923,-1.92499,-0.9544473
-0.2702264,-1.92246,-0.9559533
-0.2686665,-1.919105,-0.9565854
-0.2670197,-1.913054,-0.9566199
-0.2652095,-1.902308,-0.9567093
-0.2620116,-1.888947,-0.9548145
-0.2576027,-1.873274,-0.9509151
-0.2519943,-1.853548,-0.9448423
-0.2461843,-1.826833,-0.9362181
-0.2397102,-1.791984,-0.9280311
-0.2405697,-1.753696,-0.9200813
-0.2408501,-1.712403,-0.91277
-0.2389105,-1.669277,-0.9054762
-0.2333578,-1.616953,-0.899115
-0.2248172,-1.556291,-0.8914664
-0.2149521,-1.489968,-0.8822506
-0.2033536,-1.41677,-0.8706662
-0.1868106,-1.332908,-0.8555924
-0.1665026,-1.242947,-0.8398185
-0.1433982,-1.151659,-0.8271936
-0.1160637,-1.054601,-0.8150326
-0.08436136,-0.9502276,-0.8002014
-0.05027677,-0.8442926,-0.7841593
-0.02018552,-0.740764,-0.7709789
0.00302278,-0.6339749,-0.7620425
0.01555215,-0.5244038,-0.7577517
0.01399877,-0.4206094,-0.7564111
-0.002314003,-0.3205074,-0.7573488
-0.03196333,-0.2108069,-0.7606375
-0.06719942,-0.08418797,-0.7767749
-0.1146308,0.0268415,-0.8100407
-0.1502239,0.1375353,-0.8449688
-0.1709358,0.2610836,-0.8715655
-0.1878438,0.383329,-0.8910086
-0.1905732,0.464635,-0.9049243
-0.1856826,0.482729,-0.9090026
-0.1833653,0.4500195,-0.9060439
-0.1850299,0.407335,-0.8974306
-0.2025878,0.3944455,-0.8798028
-0.2231155,0.3963177,-0.8566922
-0.2405353,0.3774246,-0.8339049
-0.2442232,0.3152501,-0.8097216
-0.2445829,0.2283541,-0.7844439
-0.243471,0.1333872,-0.7566326
-0.2403617,0.03849688,-0.7263778
-0.2342703,-0.05129041,-0.6961157
-0.2282205,-0.139547,-0.6693256
-0.225038,-0.2357833,-0.6431516
-0.2198886,-0.34922,-0.6168724
-0.2114026,-0.4798891,-0.5951693
-0.2009226,-0.6272364,-0.5798866
-0.1918559,-0.7788215,-0.5739743
-0.1811287,-0.9205994,-0.5777017
-0.1647158,-1.032937,-0.5974798
-0.1463576,-1.118228,-0.6363717
-0.1313388,-1.199424,-0.6888391
-0.1250013,-1.291871,-0.7459968
-0.1258176,-1.398021,-0.8035992
-0.1333857,-1.5019,-0.868515
-0.1557703,-1.581962,-0.9480003
-0.1868558,-1.64768,-1.028952
-0.2194335,-1.714598,-1.102523
-0.2490178,-1.77738,-1.168663
-0.276498,-1.826405,-1.228545
-0.2931636,-1.853294,-1.281363
-0.3057101,-1.869669,-1.324321
-0.299486,-1.854879,-1.360479
-0.2897649,-1.832434,-1.380558
-0.278789,-1.812637,-1.38407
-0.2692948,-1.798773,-1.374556
-0.2634989,-1.788553,-1.357959
-0.260577,-1.78273,-1.339199
-0.2600936,-1.783321,-1.318715
